,id,movie_id,name
232,7337.0,9519,Mushroom Pictures
233,8724.0,9519,Australian Film Finance Corporation (AFFC)
234,906.0,10562,Revelations Entertainment
235,7799.0,10562,TF1 International
236,79.0,1493,Village Roadshow Pictures
237,97.0,1493,Castle Rock Entertainment
238,172.0,1493,NPV Entertainment
239,4258.0,1493,Fortis Films
240,1285.0,3134,Toute Premiere Fois
241,5358.0,3134,Canal+
242,5942.0,3134,Take One Productions
243,7009.0,3134,Pan Europ?enne Productions
244,23.0,12107,Imagine Entertainment
245,33.0,12107,Universal Pictures
246,421.0,11398,Amen Ra Films
247,1403.0,11398,Franchise Pictures
248,6194.0,11398,Warner Bros.
249,10210.0,11398,Morgan Creek Productions
250,3475.0,15653,Walt Disney Television Animation
251,1789.0,10180,M&M Productions
252,126.0,2046,Lakeshore Entertainment
253,11462.0,2046,Alphaville Films
254,5.0,21355,Columbia Pictures
255,14.0,21355,Miramax Films
256,158.0,2067,Spyglass Entertainment
257,3638.0,2067,The Jacobson Company
258,9195.0,2067,Touchstone Pictures
259,22103.0,2067,Red Horizon Productions
260,306.0,7450,Twentieth Century Fox Film Corporation
261,11050.0,7450,David Kirschner Productions
262,11231.0,7450,Fox Animation Studios
263,414.0,711,Fountainbridge Films
264,415.0,711,Laurence Mark Productions
265,441.0,711,Columbia Pictures Corporation
266,50830.0,711,Finding Forrester Productions
267,97.0,11983,Castle Rock Entertainment
268,6194.0,11983,Warner Bros.
269,2108.0,6521,Battleplan Productions
270,7293.0,6521,DreamWorks Pictures
271,33.0,17711,Universal Pictures
272,594.0,17711,Capella International
273,596.0,17711,KC Medien AG
274,11391.0,17711,Tribeca Productions
275,12.0,8843,New Line Cinema
276,1565.0,8843,Avery Pix
277,11152.0,8843,Radical Media
278,26083.0,8843,Katira Productions GmbH & Co. KG
279,26084.0,8843,Caro-McLeod
280,7055.0,27723,New Oz Productions
281,7056.0,27723,Red Horse Films
282,79.0,8870,Village Roadshow Pictures
283,172.0,8870,NPV Entertainment
284,6194.0,8870,Warner Bros.
285,22351.0,8870,The Canton Company
286,53997.0,8870,Mars Production Pty. Ltd.
287,2811.0,10577,Neo Art & Logic
288,7405.0,10577,Dimension Films
289,65507.0,10577,Wes Craven Films
290,8.0,2360,Fine Line Features
291,1094.0,2360,Homerun Productions
292,1095.0,2360,Portman Entertainment Group
293,1096.0,2360,Rich Pickings
294,1097.0,2360,Sky Pictures
295,1098.0,2360,Wave Pictures
296,12.0,10559,New Line Cinema
297,12.0,11849,New Line Cinema
298,1885.0,11849,Silver Pictures
299,8933.0,11849,Sweetpea Entertainment
300,1403.0,5491,Franchise Pictures
301,6194.0,5491,Warner Bros.
302,7406.0,5491,JTP Films
303,10210.0,5491,Morgan Creek Productions
304,19718.0,5491,Battlefield Productions
305,27.0,4958,DreamWorks SKG
306,306.0,4958,Twentieth Century Fox Film Corporation
307,316.0,4958,Wildwood Enterprises
308,1171.0,4958,Epsilon Motion Pictures
309,1755.0,4958,Allied Filmmakers
310,14.0,10688,Miramax Films
